Unnamed: 0,Museum Name,Exhibition Year,Exhibition Title,Exhibition Introduction,Duration of exhibition
28.0,Groninger Museum,2021.0,Graffiti in Groningen,"in the 1980s the city of groningen had a thriving graffiti scene – an artistic movement that sprang from subcultures including punk and hiphop this exhibition brings back the pioneering years of local graffiti and street art through stories photographs and film

the show is curated by stichting kladmuur led by aileen middel graffiti artist mick la rock and hugo engwerda mick la rock and stars  weak are creating two new works for the groninger museum which will be on display in the exhibition

graffiti in groningen has been made possible by effektief groep",2021.11-2022.2
29.0,Groninger Museum,2021.0,Alida Pott & De Ploeg,alida pott 18881931 was de ploeg’s ‘first lady member’ part of the groningen artists’ collective from the beginning she held several administrative positions from 1918 she met fellow member george martens in the group and married him in 1922 after giving birth to two children she became less active in de ploeg her premature death put an end to her delicate promising artistry she left behind a relatively small oeuvre of oil paintings watercolours drawings and collages the 30 works that comprise alida pott  de ploeg display the expressiveness and individuality that characterize her style,2021.5-2021.10
30.0,Groninger Museum,2021.0,The Show Must Go On,take a voyage of discovery through this selection of photographs graphic works and paintings from the museum’s collection works of art old and new are combined in playful ways baroque portraits of groningen’s 18thcentury sichterman family sit alongside contemporary fashion portraits by inez van lamsweerde prints by hn werkman mingle with graphic work by andy warhol there are a 17thcentury still life and a romantic landscape by barend cornelis koekkoek plus notable works by contemporary artists like jeff koons andres serrano and erwin olaf in short it’s a mixandmatch selection of works from the groninger museum’s collection as youve never seen them before,2021.6-2021.10
31.0,Groninger Museum,2022.0,Nymphenburg x Groninger Museum - Porcelain. Art. Design.,"marrying art design and craft porzellan manufaktur nymphenburg of munich has been producing the finest porcelain pure of form and entirely handmade since the mid 18th century working with the expert john veldkamp guest curator of pronkjewails the groninger museum will showcase the houses magnificent creations in dialogue with pieces from its own collection

porzellan manufaktur nymphenburg
this year marks the 275th anniversary of munich’s porzellan manufaktur nymphenburg the company has won international fame for its fine porcelain which is pure of form and entirely handmade porcelain is a refined highquality material timeless and lasting yet simultaneously delicate and fragile

innovative avantgarde art and design
the company’s reputation rests largely on the master modellers who have left their mark on the brand over the years in addition nymphenburg has always been an innovator between its avantgarde business vision and its long tradition of craftsmanship the factory has established a solid reputation in the art and design worlds nymphenburg continues to seek out interesting collaborations with today’s artists for the purpose of creating contemporary porcelain it has partnered with the likes of the artist damien hirst the photographer nick knight and the prominent dutch designers hella jongerius and viktor  rolf

in dialogue
over the centuries nymphenburg has successfully adapted to changing tastes in style and subject matter in its focus on subjects including mythology human beings nature and foreign cultures it shares common ground with the groninger museum’s highly varied collection objects from the two collections will be presented side by side in the starck pavilion thus their historical and visual links are further explored in an unexpected way",2022.10-2024.5
32.0,Groninger Museum,2022.0,Gianni Versace Retrospective,"one of the most influential couturiers ever comes to life at the groninger museum in gianni versace retrospective this colourful daring emotional exhibition takes visitors inside the eccentric italian fashion designer’s world of extravagant clothing and lavish catwalk shows in which clothing pop music and design come spectacularly together gianni versace was murdered 25 years ago but his revolutionary spirit lives on in the fashion of today from 3 december 2022 through 7 may 2023 the groninger museum honours gianni versace and his trailblazing designs

gianni versace retrospective showcases outfits accessories fabrics drawings interior designs and footage of legendary shows harking back to the italian designer’s glory days between 1989 and 1997 all testifying to his extraordinary creativity gianni versace linked fashion with music photography and graphic design and led the way in the transformation of fashion shows and advertising campaigns into works of art he succeeded in bringing the arts together as no one had before all the items in the exhibition are original pieces sourced from international private collections

selfconfidence and supermodels
gianni versace 1946–1997 was a pioneer in the fashion world he challenged traditional images of masculinity and femininity designing clothing for both sexes and referencing sexuality and power in his collections as an openly gay man he became a key figure in the lgbtq movement he also encouraged women to be selfconfident enough not to hide their bodies a clever marketer gianni versace recruited celebrities to promote his brand at the same time he turned previously unknown models into superstars naomi campbell claudia schiffer and cindy crawford owe their supermodel status to him he worked on his advertising campaigns with forwardlooking photographers like richard avedon helmut newton peter lindbergh and bruce weber gianni versace created a new status quo in the fashion industry

ancient greece pop art and bondage
gianni versace’s groundbreaking combinations and strong patterns sprang from his vast knowledge of visual culture and art history he brought together classical and pop art imagery and found inspiration in figures from ancient greece as well as subjects like bondage and sm gianni versace worked with artists like andy warhol jim dine and julian schnabel raising the profile of the marriage between old and new like never before

1997 murder
on 15 july 1997 gianni versace was murdered at age 50 in front of his house in florida he had left a unique mark on the fashion world and won multitudes of fans and numerous pop stars and other prominent people including princess diana and elton john attended his funeral with his death the fashion world lost one of its most important designers of the 20th century",2022.12-2023.5
33.0,Groninger Museum,2022.0,Bernadet ten Hove,in a world where everything just keeps getting more efficient and faster the groningen artist bernadet ten hove shows us the beauty of her thorough careful working process achieving a precise harmony between subject operation and choice of materials requires deep focus each work invites viewers to step closer to examine the minute details and then to stand back again to view the piece as a whole and to ask themselves “what am i looking at exactly”,2022.10-2023.5
34.0,Groninger Museum,2022.0,Colour!,"discover the groninger museum’s collection in this vivid exhibition how does colour affect you how do we use it the exhibition considers these questions in original ways

colours carry meaning they evoke emotion and carry symbolic weight red stands for desire and passion in cornelie tollens’s challenging photo series and for an oppressive political regime in the photographs of the chinese artist chi peng colour brings together a playful selection of outstanding pieces from the museums collection by artists and designers including inez van lamsweerde jeff koons and the painters of de ploeg",2022.7-2023.1
35.0,Groninger Museum,2022.0,Teun Hocks,"a small presentation in his memory
last february teun hocks passed away in his hometown rotterdam at th e age of 74 hocks was a pioneer in staged photography a movement that was widely exhibited for the first time in 1986 through the exhibition fotografia buffa in the groninger museum in 1999 hocks also held a solo exhibition here

a plodding antihero  that’s what they called the character hocks invariably portrayed in his photographs alone in the world tragicomic melancholic and treading the fine line between surrealism and slapstick hocks did not only play the leading part in his work every time he also designed and painted his backdrops and took the photos himself by using a selftimer the photo would then be enlarged in soft black and white tones and carefully coloured in with thinned oil paint

“if people recognise this situation i want to make them smile about the things that are actually a little bit painful i hope that my work can bring some comfort this way solace starts from within and my work helps me to put my own potential sadness about human destiny into perspective",2022.4-2022.10
36.0,Groninger Museum,2022.0,MEGALITH: Marit Westerhuis,in the large solo exhibition megalith marit westerhuis interrogates the relationship between human beings myth and nature a vast postapocalyptic landscape dominates the coop himmelblau pavilion how can people find meaning in the world when they are threatened with extinction in light of the climate crisis this question is more relevant now than ever westerhuis conjures up a world in which people return to centuriesold rituals and seek comfort in mythological tales,2022.4-2022.10
37.0,Groninger Museum,2022.0,The City Holds Its Ground – The 350th Anniversary of the Relief of Groningen,"the city holds its ground – the 350th anniversary of the relief of groningen
1672 was a disastrous year for the netherlands the country was attacked from four different directions – from the sea by the british from the south by france and from the east by the german bishops of münster and cologne before long most of the netherlands was in enemy hands groningen was bombed for weeks but it held out and the germans quietly withdrew on 27 august the city’s preservation proved a turning point in that terrible year the relief of groningen is still commemorated every 28 august this exhibition includes historical paintings objects documents and even cannons from that heroic battle",2022.4-2022.10
38.0,Groninger Museum,2022.0,Bittersweet Heritage: Black in Groningen,"in the 17th and 18th centuries rich and powerful people living in and around groningen were heavily involved in slavery overseas some members of prominent families commissioned portraits in which they were portrayed with black servants this exhibition will feature historical paintings and sculptures made in groningen that depict people of colour the works bear witness to local involvement in the history of slavery the artist faisel saro and the writer vamba sherif will contribute their responses to the images

objects in the permanent museum collection with links to colonial history will from now on be highlighted",2022.2-2022.9
39.0,Groninger Museum,2023.0,Erwin Olaf,"there are artists who are inextricably linked to the groninger museum erwin olaf was one of them his chessmen series exhibited at the museum in 198788 made his name internationally the successful exhibition silver a 25year survey of his career opened here in 2003 in 2016 olaf made a series of photographs for the groninger museum inspired by the sculptures of auguste rodin

erwin olaf made his debut in the 1980s as a photojournalist but soon began specialising in studio photography his studio work was characterised by a broad range of themes which included sexuality mortality and an uncontrollable urge to shock the audience with humour and sarcasm

when i’m dead i think it would be a shame if nobody tries to see if i could be one of the immortals but if that’s not possible no hard feelings erwin olaf",2023.10-2024.6
40.0,Groninger Museum,2023.0,The Rolling Stones – Unzipped,"the rolling stones – unzipped was the first ever international exhibition by and about the worldfamous rock band through 400 original objects from the stones’ personal archive it offered visitors an exciting glimpse behind the scenes along with instruments and stage designs the show included rare video footage personal diaries iconic costumes and album covers highlights included reconstructions of the the band’s studio and modest flat in london’s edith grove and a spectacular dolby surround experience of their 2016 concert in cuba

the rolling stones “we are very proud of this exhibition as well as going back through our history we wanted everyone who comes along to experience and feel exactly what it’s like to be in the rolling stones this is the first time the exhibition is coming to the netherlands we hope you all enjoy it’’

the show boasts more than 400 original objects from the stones’ own collection along with instruments and stage designs it includes rare audio fragments and video footage personal diaries iconic costumes posters album covers and even the band’s studio and their modest london flat at edith grove

supplemented by unique film footage and interactive technology the exhibition will treat visitors to an extraordinarily comprehensive look at 50 years of the history of the band and the careers of mick jagger keith richards charlie watts and ronnie wood visitors will witness the stones’ evolution from early 1960s london blues musicians to internationally revered cultural icons fans will be able to journey through the bands unique legacy throughout the exhibition ending with a special finale experience that brings fans into an iconic stones moment delivered in multidimensional dolby atmos sound and facilitated by pmc the professional monitor company

the rolling stones have helped to shape popular culture around the world this exhibition of items loaned by the band provides a compelling behindthescenes look at how it all happened it also considers the wider context of decades of cultural history through the work of artists designers performers and writers ranging from andy warhol shepard fairey alexander mcqueen and ossie clark to jeff koons and martin scorsese

andreas blühm director of the groninger museum “we are extremely happy that we can bring the rolling stones back to groningen after their legendary concert in 1999 the exhibition will trigger happy memories and provide new and deeper insight into a fourheaded cultural phenomenon that shaped the 20th century and continues to do so”

ileen gallagher curator of the exhibition the rolling stones exhibition is a celebration and thematic exploration of the band who defined rock and roll and the culture surrounding it for more than half of a century it is an immersive presentation that brings together their music art design fashion photography and film for museum audiences”

the rolling stones will be on view from november 2020 through february 2021",2023.6-2024.1
41.0,Groninger Museum,2023.0,Joram Krol - Can I Be Me,"confrontational portraits black and white photography and locals from groningen as the subjects of the photos these are the characteristics that make you recognize joram krols photography in his new exhibition can i be me there are 116 different portraits that showcase his intriguing work and impressive world

joram krols approach
joram krol is known for his intense and personal portraits often taken in groningen around nine years ago joram got his hands on a camera he began developing his signature photography style that allows him to put himself in the shoes of those who are in the pictures the photographer works in complete freedom no pictures are ever planned even when he works for someone else he still decides what the images will become you can always find a piece of himself in his intruiging work",2023.10-2024.4
42.0,Groninger Museum,2023.0,Match,in match two masterpieces come together for an intimate encounter the groninger museum will display the rijksmuseum’s jeanétienne liotard painting a dutch girl at breakfast alongside its own girl at the pump by matthijs maris two young women lost in thought as each goes about her daily business the perfect match twelve dutch museums are taking part each exhibiting a work from the rijksmuseum alongside one from its own collection,2023.7-2023.9
43.0,Groninger Museum,2023.0,Uit de kunst,"about the artists
elisabeth geertruida wassenbergh albarta ten oever geesje mesdagvan calcar and more these women were famous artists in the 18th and 19th centuries they won prizes and their art hung on the walls of houses in groningen years later however their work fell out of fashion and art historians dismissed them as amateurs this exhibition puts these artists who fell “out of art” back in the spotlight where they belong",2023.3-2023.9
44.0,Groninger Museum,2023.0,The Art of Hipgnosis,"their illustrations have decorated the walls of millions of teenage bedrooms since the 1970s yet many people have never heard of the london design studio hipgnosis now the groninger museum is honouring the group which designed legendary album covers for some of the world’s biggest rock acts with its first ever major exhibition the art of hipgnosis pink floyd led zeppelin genesis paul mccartney peter gabriel  10cc

an upclose look
pink floyd led zeppelin genesis paul mccartney peter gabriel 10cc – these are just a few names on the impressive list of bands and musicians for whom the london studio hipgnosis designed album covers during the heyday of vinyl many featured surrealist images produced long before the invention of digital photography and photoshop the art of hipgnosis gives you an upclose look at the design process and stories behind the most iconic album covers ever made

“we didn’t have photoshop everything had to be shot on film and done by hand and average artwork could take three to six weeks whereas you could do some of these album covers in an afternoon now”  aubrey po powell founder of hipgnosis 2017 rolling stones

the album covers as art
the dutch photographer and filmmaker anton corbijn’s documentary squaring the circle the story of hipgnosis which premiered recently looks at how some of the cover designs came into being though hipgnosis is known for colourful work corbijn chose to make his film in blackandwhite “except for the introduction of each sleeve” he says “those are in colour to show that they brought colour to the world”

“hipgnosis turned the visual interpretation of music into an art form” says groninger museum director andreas blühm who curated the exhibition with hipgnosis founder aubrey powell all the photographs and objects in the art of hipgnosis come from powells private archive

the documentary is currently not on display in the groninger museum

tricks and tips
anyone interested in learning more about this art form can pick up a few tricks at the groninger museum during the art of hipgnosis the designers will be sharing their secrets in 14 steps one lesson sometimes a design fails a selection of “outtakes” – sleeves rejected by artists including the rolling stones – will be on display along with the famous ones

eurosonicnoorderslag
the opening of the art of hipgnosis coincides with groningen’s annual international music event eurosonicnoorderslag esns taking place from 18 to 21 january 2023 esns is a conference devoted to european pop music and a showcase festival dedicated to the promotion and discovery of new european and dutch music

the art of hipgnosis playlist
take a trip down memory lane with our the art of hipgnosis playlist listen to the greatest hits of pink floyd led zeppelin genesis paul mccartney peter gabriel and 10cc",2023.1-2023.5
45.0,Groninger Museum,2023.0,Rembrandt’s The Standard Bearer,"rembrandts the standard bearer on tour
thanks to the unique collaboration of twelve museums the standard bearer by rembrandt van rijn will travel through the twelve provinces of the netherlands in 2022 and 2023 this way as many people as possible are enabled to see rembrandts masterpiece

rembrandt’s 1636 the standard bearer was purchased by the dutch state in january 2022 with the support of the rembrandt association and the rijksmuseum fund the tour through the netherlands is made possible by the rijksmuseum the rembrandt association and the vriendenloterij it is widely considered the final major important painting by rembrandt to enter a public collection",2023.4-2023.5
46.0,Groninger Museum,2024.0,Children's Biennale: A Better Place,"a better place
the popular children’s biennale invites kids and adults to get handson with art expect roomfilling installations you can react to or help to build artists from the netherlands and abroad including florentijn hofman hedy tjin and wang ruobing will present work that will get visitors thinking about a better world this time round the museum is again working with young ambassadors follow their activities at groningermuseumyoung and kinderbiennalegm

interaction
every artwork in the children’s biennale will invite interaction participation and creation through doing discovering making and looking visitors will actively engage with art in a variety of ways

artists
the dutch artists who present their works are carolien adriaansche sanne boekel florentijn hofman jelle mastenbroek florien riezebos hedy tjin studio toer and stefan venbroek installations by isabel and alfredo aquilizan from the philippines and wang ruobing from singapore can also be admired in the museum

from start to finish
in the runup to the exhibition the children help to write information signs for the artworks plan the marketing and select merchandise for the museum shop they will witness the technical construction of the exhibition help to determine its layout and learn how to be a tour guide perhaps best of all they visit participating artists’ studios and where possible help them to produce works for the show

the children’s biennale was developed in cooperation with national gallery singapore groningen primary schools and regional partners",2024.3-2024.11
47.0,Groninger Museum,2024.0,150 Years of the Groninger Museum – Behind the Scenes,"we take you behind the scenes
this exhibition pulls back the curtain on everything visitors dont normally see how does a collection come into being and how are artworks conserved how are they transported and subsequently presented to the public behind the scenes not only answers these questions it gives visitors a chance to get involved the exhibition is interactive and calls on visitors to get creative they can choose which frame best suits a particular artwork or decide which lighting shows it off most effectively

stolen van gogh to go back on display
in 2020 vincent van gogh’s painting the parsonage garden at nuenen in spring was stolen from the singer laren museum in 2023 came the joyful news that the painting had been recovered after research by conservator marjan de visser at the depot boijmans van beuningen in rotterdam the parsonage garden at nuenen in spring will return to public view in behind the scenes at the groninger museum

150 years of the groninger museum how it all started
the groninger museum was born a century and a half ago in a small room in groningen’s provincial government building at that point it was simply a cabinet of curiosities in 1894 it moved to praediniussingel and became the groninger museum van provinciale oudheden groningen museum of provincial antiquities today visitors to central groningen can’t miss the current building a striking colourful structure that rises up out of the water designed by alessandro mendini it has housed the groninger museum since 1994 the collection has long since outgrown that small room and now contains more than 60000 objects more than 200000 people visit the museum every year",2024.3-2024.6
48.0,Groninger Museum,2024.0,New acquisitions: tapestries by Andrea Branzi and Koen Taselaar,"in the west oval room of the museum two playful tapestries and recent additions to the museum’s collection are on show they are two tapestries by different artists from different times and with very different representations and yet they are related baletto geometrico was created in 1980 by the italian designer andrea branzi and koen taselaar created the wall hanging radical furniture for radical times five years ago

in the one tapestry you see four dancing figures perform an abstract ballet and at the other you discover squids in a postmodern design interior so very different but each makes reference to other works of art how are the two works of art connected

andrea branzi
the tapestry on the right is by the italian designer andrea branzi 1938–2023 a member of alessandro mendini’s circle branzi took the german bauhaus artist kurt schmidt’s sketch for the mechanical ballet as his starting point in schmidt’s 1923 design the dancers hide behind movable abstract planes schmidt wanted to bring an abstract painting to life on stage branzi in turn combines three art forms here abstract art theatre and the craft of weaving

koen taselaar
koen taselaar’s b 1986 radical furniture for radical times was purchased in 2020 but has just gone on display for the first time in the museum taselaar took inspiration in part from the groninger museum’s postmodern italian design collection the numerous recognisable items include furniture and lamps by ettore sottsass michele de lucchi and peter shire – the “radical furniture” of the title as for “radical times” taselaar had read that octopi could thrive in a warming world and hence might ultimately survive longer than humans if the groninger museum should ever end up entirely under water the creatures would find a cheerful home here",2024.4-2024.9
49.0,Groninger Museum,2024.0,How Van Gogh Came to Groningen,"not many people know it but the groninger museum hosted one of the biggest ever vincent van gogh exhibitions more than a century ago the exhibition how van gogh came to groningen will tell the story of the determined groningers and enterprising students who brought modern art to the northern netherlands in the 1890s the exhibition will open on 30 november 2024

‘who had ever seen such things’

at the end of the 19th century groningen was a lively city full of new buildings and ideas travellers could take the train to the city for the first time and disembark at a brand new station the population was growing and the city was expanding the stadsschouwburg theatre was under construction and the groningen museum of antiquities had recently opened in a bid to shake up the art world six university of groningen students – including johan huizinga who would become a worldfamous historian – organised eight spectacular exhibitions at the groninger museum in 1896 and 1897 their efforts would prove pivotal for the development of modern art

a craving for change

how van gogh came to groningen sparkles with bold experimental personalities people who transformed the zeitgeist and the culture like its 1896 predecessor the show features work by the dutch painter jan toorop belgian symbolists and french printmakers including henri de toulouselautrec – all innovators who challenged the art establishment johanna van goghbonger vincents sister in law was another key figure most of the 128 van gogh works shown in groningen came from her collection

after the exhibition on the advice of the “art tsar” hp bremmer influential groningen professors including gerard heymans began collecting van gogh’s work lecturers at the minerva art academy recognised his importance and transmitted it to the artists of de ploeg van gogh’s paintings provided seminal inspiration for their bright palette

in short the fin de siècle was a thrilling decisive time in groningen when a lot went on how van gogh came to groningen is an unmissable show for anyone interested in the history of modern art

catalogue

the book how van gogh came to groningen will be published in conjunction with the exhibition providing an indepth look at the show’s subject matter it is partially written and based on research by guest curator mariëtta jansen and published by wbooks",2024.11-2024.5
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
